FIT101,MV101,LIT101,P101,FIT201
0.0,1,589.4313975519017,2,2.471022
0.0,1,588.9724890992087,2,2.471022
0.0,1,588.5135806465157,2,2.471022
0.0,1,587.5957637411298,2,2.471022
0.0,1,587.1368552884368,2,2.471022
0.0,1,586.6779468357438,2,2.471022
0.0,1,586.6779468357438,2,2.471022
0.0,1,586.2190383830508,2,2.471022
0.0,1,585.7601299303578,2,2.471022
0.0,1,585.3012214776649,2,2.471022
0.0,1,584.3834045722789,2,2.471022
0.0,1,584.3834045722789,2,2.471022
0.0,1,583.9244961195859,2,2.471022
0.0,1,583.0066792142,2,2.471022
0.0,1,583.0066792142,2,2.471022
0.0,1,582.547770761507,2,2.471022
0.0,1,582.088862308814,2,2.471022
0.0,1,581.629953856121,2,2.471022
0.0,1,581.171045403428,2,2.471022
0.0,1,580.712136950735,2,2.471022
0.0,1,580.2532284980421,2,2.471022
0.0,1,579.7943200453491,2,2.471022
0.0,1,578.8765031399631,2,2.471022
0.0,1,578.8765031399631,2,2.471022
0.0,1,578.4175946872701,2,2.471022
0.0,1,577.4997777818842,2,2.471022
0.0,1,577.4997777818842,2,2.471022
0.0,1,576.5819608764982,2,2.471022
0.0,1,576.5819608764982,2,2.471022
0.0,1,576.1230524238052,2,2.471022
0.0,1,575.6641439711123,2,2.471022
0.0,1,575.2052355184193,2,2.471022
0.0,1,574.7463270657263,2,2.471022
0.0,1,574.2874186130333,2,2.471022
0.0,1,573.8285101603403,2,2.471022
0.0,1,573.3696017076473,2,2.471022
0.0,1,572.4517848022614,2,2.471022
0.0,1,571.9928763495684,2,2.471022
0.0,1,571.5339678968754,2,2.471022
0.0,1,571.0750594441824,2,2.471022
0.0,1,570.6161509914895,2,2.471022
0.0,1,570.1572425387965,2,2.471022
0.0,1,569.6983340861035,2,2.471022
0.0,1,569.2394256334105,2,2.471022
0.0,1,568.7805171807175,2,2.471022
0.0,1,568.7805171807175,2,2.471022
0.0,1,568.3216087280246,2,2.471022
0.0,1,567.4037918226386,2,2.471022
0.0,1,566.9448833699456,2,2.471022
0.0,1,566.4859749172526,2,2.471022
0.0,1,566.0270664645597,2,2.471022
0.0,1,565.5681580118667,2,2.471022
0.0,1,565.1092495591737,2,2.471022
0.0,1,564.6503411064807,2,2.471022
0.0,1,564.1914326537877,2,2.471022
0.0,1,563.7325242010947,2,2.471022
0.0,1,563.2736157484018,2,2.471022
0.0,1,562.8147072957088,2,2.471022
0.0,1,562.3557988430158,2,2.471022
0.0,1,561.8968903903228,2,2.471022
0.0,1,561.4379819376298,2,2.471022
0.0,1,560.9790734849369,2,2.471022
0.0,1,560.5201650322439,2,2.471022
0.0,1,560.0612565795509,2,2.471022
0.0,1,559.6023481268579,2,2.471022
0.0,1,559.6023481268579,2,2.471022
0.0,1,558.684531221472,2,2.471022
0.0,1,558.225622768779,2,2.471022
0.0,1,558.225622768779,2,2.471022
0.0,1,557.766714316086,2,2.471022
0.0,1,557.307805863393,2,2.471022
0.0,1,556.8488974107,2,2.471022
0.0,1,556.389988958007,2,2.471022
0.0,1,555.9310805053141,2,2.471022
0.0,1,555.4721720526211,2,2.471022
0.0,1,555.0132635999281,2,2.471022
0.0,1,554.5543551472351,2,2.471022
0.0,1,554.0954466945421,2,2.471022
