,FIT201,LIT301,FIT301
0,0.0,798.0,0.0
1,0.0,798.0,0.0
2,0.0,798.0,0.0
3,0.0,798.0,0.0
4,0.0,798.0,0.0
5,0.0,798.0,0.0
6,0.0,798.0,0.0
7,0.0,798.0,0.0
8,0.0,798.0,0.0
9,0.0,798.0,0.0
10,0.0,798.0,0.0
11,0.0,798.0,0.0
12,0.0,798.0,0.0
13,0.0,798.0,0.0
14,0.0,798.0,0.0
15,0.0,798.0,0.0
16,0.0,798.0,0.0
17,0.0,798.0,0.0
18,0.0,798.0,0.0
19,0.01384039,798.0,0.0
20,0.08534905,798.0025703826027,0.0
21,0.08534905,798.0051407652054,0.0
22,0.663826,798.0209914538979,0.0
23,1.459648,798.1442745984904,0.0
24,1.459648,798.3333641835835,0.0
25,1.831545,798.6044442488992,0.0
26,2.070291,798.9445915571739,0.0
27,2.070291,799.3290778302359,0.0
28,2.327748,799.3290778302359,0.0
29,2.327748,799.7135641032978,0.0
30,2.38862,800.5781644451315,0.0
31,2.448723,801.021769523626,0.0
32,2.467946,801.4765366940533,0.1851199
33,2.471022,801.9348738841672,0.4642731
34,2.471022,802.3588313371232,0.7883931
35,2.471022,802.7315168221745,1.186945
36,2.471022,803.0440080201305,1.576018
37,2.471022,803.2824817323066,1.888223
38,2.471022,803.4486983425974,2.007622
39,2.471022,803.5569334725643,2.154822
40,2.471022,803.6429942915202,2.243731
41,2.471022,803.7017177074758,2.280114
42,2.471022,803.7439292948761,2.266662
43,2.471022,803.7793839751205,2.25526
44,2.471022,803.8173369077097,2.233738
45,2.471022,803.857407374735,2.229382
46,2.471022,803.9014748226529,2.228613
47,2.471022,803.9463512496975,2.225667
48,2.471022,803.9913704923869,2.225667
49,2.471022,804.0369368545684,2.228229
50,2.471022,804.0825032167498,2.228229
51,2.471022,804.1275937744036,2.225795
52,2.471022,804.1726843320574,2.225795
53,2.471022,804.1726843320574,2.225795
54,2.471022,804.263769513111,2.226435
55,2.471022,804.3093121036378,2.226435
56,2.471022,804.3093121036378,2.226435
57,2.471022,804.4001595681435,2.226435
58,2.471022,804.4001595681435,2.226435
59,2.471022,804.4455833003964,2.226435
60,2.471022,804.5364307649021,2.223873
61,2.471022,804.581854497155,2.223873
62,2.471022,804.581854497155,2.223873
63,2.471022,804.6277540339355,2.223873
64,2.471022,804.673653570716,2.22477
65,2.471022,804.7654526442772,2.226435
66,2.471022,804.8111855937582,2.233738
67,2.471022,804.856609326011,2.245652
68,2.471022,804.9006767739289,2.258976
69,2.471022,804.9425316007914,2.281779
70,2.471022,804.9819119469639,2.299715
71,2.471022,805.01705740998,2.31291
72,2.471022,805.0488718698697,2.319956
73,2.471022,805.0782358064401,2.3238
74,2.471022,805.1062911877012,2.325337
75,2.471022,805.1336326764547,2.326234
76,2.471022,805.1606887196347,2.326234
77,2.471022,805.1875781755151,2.325465
78,2.471022,805.2144676313956,2.314704
79,2.471022,805.2414999029207,2.302405
80,2.471022,805.2705306648921,2.286391
81,2.471022,805.3018455485993,2.268328
82,2.471022,805.336134489179,2.251673
83,2.471022,805.3737780188239,2.23835
84,2.471022,805.4145146493314,2.233097
85,2.471022,805.4577255748128,2.229254
86,2.471022,805.5019120667206,2.228998
87,2.471022,805.54681226542,2.227973
88,2.471022,805.591760007429,2.227973
89,2.471022,805.6368981083923,2.229638
90,2.471022,805.6820362093556,2.229638
91,2.471022,805.7268650930907,2.229638
92,2.471022,805.7716939768259,2.229638
93,2.471022,805.816522860561,2.229638
94,2.471022,805.8613517442961,2.22887
95,2.471022,805.9061806280313,2.22887
96,2.471022,805.951152141695,2.22887
97,2.471022,805.9961236553588,2.22887
98,2.471022,805.9961236553588,2.22887
99,2.471022,806.0410951690226,2.22887
100,2.471022,806.0860666826864,2.22887
101,2.471022,806.1760097100139,2.22887
102,2.471022,806.2209812236777,2.227588
103,2.471022,806.2659527373414,2.227588
104,2.471022,806.3111623389851,2.227588
